Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
ARI017-1.smt2,unsat,unsat,0.0204668045043945,0.0713660717010498,0.074643850326538
ARI005-1.smt2,unsat,unsat,0.025806188583374,0.0722749233245849,0.0752708911895752
179.smt2,unsat,unsat,0.0308799743652343,0.0781099796295166,0.0816493034362793
nested9_true-unreach-call.i_1722.smt2,unsat,unsat,0.0223739147186279,0.0841352939605712,0.0752151012420654
jain_7_true-unreach-call_true-no-overflow_false-termination.i_9.smt2,unsat,unsat,0.0444791316986084,0.0955512523651123,0.0796468257904052
nested9_true-unreach-call.i_1427.smt2,unsat,unsat,0.033966064453125,0.0563321113586425,0.0774760246276855
ARI592-1.smt2,unsat,unsat,0.0220558643341064,0.0698738098144531,0.0770270824432373
155.smt2,unsat,unsat,0.0584239959716796,0.0930619239807128,0.0893058776855468
NUM864-1.smt2,unsat,unsat,0.0607490539550781,0.0971608161926269,0.0718171596527099
recHanoi03_true-unreach-call_true-termination.c_73.smt2,unsat,unsat,0.0479309558868408,0.1017601490020752,0.049833059310913
nested9_true-unreach-call.i_746.smt2,unsat,unsat,0.0532889366149902,0.1098990440368652,0.0544090270996093
nested9_true-unreach-call.i_357.smt2,unsat,unsat,0.0536210536956787,0.1387257575988769,0.0562531948089599
nested9_true-unreach-call.i_766.smt2,unsat,unsat,0.0617668628692626,0.1425659656524658,0.0566048622131347
NUM915-1.smt2,unsat,unsat,0.0623359680175781,0.0741021633148193,0.03261399269104
nested9_true-unreach-call.i_707.smt2,unsat,unsat,0.037675142288208,0.0752272605895996,0.0523121356964111
163.smt2,unsat,unsat,0.0581181049346923,0.0541858673095703,0.0844788551330566
nested6_true-unreach-call.i_7.smt2,unsat,unsat,0.0209989547729492,0.0352227687835693,0.0795142650604248
nested9_true-unreach-call.i_1597.smt2,unsat,unsat,0.0290338993072509,0.0319643020629882,0.075747013092041
nested9_true-unreach-call.i_1578.smt2,unsat,unsat,0.0331881046295166,0.040679931640625,0.0517630577087402
nested9_true-unreach-call.i_1738.smt2,unsat,unsat,0.0293588638305664,0.0472371578216552,0.0823502540588378
